Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
1,relu,adam,,,,0.9275000095367432,0.2315104603767395,0.9093000292778015,0.2590312957763672
2,relu,adam,,,0.001,0.9108333587646484,0.35951897501945496,0.9032999873161316,0.3838159143924713
3,relu,adam,,,0.005,0.890500009059906,0.41427281498908997,0.8827999830245972,0.43019139766693115
4,relu,adam,,0.001,,0.887499988079071,0.6689549088478088,0.8784000277519226,0.6944002509117126
5,relu,adam,,0.001,0.001,0.8834999799728394,0.6782280206680298,0.869700014591217,0.7062263488769531
6,relu,adam,,0.001,0.005,0.875166654586792,0.7183739542961121,0.861299991607666,0.7374969124794006
7,relu,adam,,0.005,,0.8536666631698608,1.5237501859664917,0.8442999720573425,1.5456104278564453
8,relu,adam,,0.005,0.001,0.8454999923706055,1.553135633468628,0.8346999883651733,1.577257752418518
9,relu,adam,,0.005,0.005,0.8428333401679993,1.5848692655563354,0.8259999752044678,1.6141624450683594
10,relu,adam,0.3,,,0.9268333315849304,0.20872454345226288,0.9186999797821045,0.23784711956977844
11,relu,adam,0.3,,0.001,0.9106666445732117,0.3755092918872833,0.8986999988555908,0.4062965214252472
12,relu,adam,0.3,,0.005,0.8895000219345093,0.44108444452285767,0.8769999742507935,0.4585970342159271
13,relu,adam,0.3,0.001,,0.8771666884422302,0.7481572031974792,0.864799976348877,0.7658581137657166
14,relu,adam,0.3,0.001,0.001,0.874833345413208,0.7499485611915588,0.8610000014305115,0.775918185710907
15,relu,adam,0.3,0.001,0.005,0.8588333129882812,0.80865877866745,0.8436999917030334,0.8349512815475464
16,relu,adam,0.3,0.005,,0.840666651725769,1.6716099977493286,0.8276000022888184,1.696496844291687
17,relu,adam,0.3,0.005,0.001,0.8360000252723694,1.6847842931747437,0.8270000219345093,1.7040456533432007
18,relu,adam,0.3,0.005,0.005,0.8151666522026062,1.6926496028900146,0.8025000095367432,1.7137279510498047
19,relu,adam,0.5,,,0.9290000200271606,0.2022966891527176,0.9211999773979187,0.22159072756767273
20,relu,adam,0.5,,0.001,0.9175000190734863,0.3621043264865875,0.9028000235557556,0.39425745606422424
21,relu,adam,0.5,,0.005,0.8883333206176758,0.4571170210838318,0.8758000135421753,0.48226088285446167
22,relu,adam,0.5,0.001,,0.8711666464805603,0.7881850004196167,0.8589000105857849,0.8166753649711609
23,relu,adam,0.5,0.001,0.001,0.8669999837875366,0.814041256904602,0.8529000282287598,0.8383753895759583
