Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
181,LeakyReLU,rmsprop,,,,0.8604999780654907,0.3836020231246948,0.848800003528595,0.4133438467979431
91,relu,rmsprop,0.3,,,0.8603333234786987,0.39831778407096863,0.845300018787384,0.4283745586872101
1,relu,adam,,,,0.859666645526886,0.39650940895080566,0.8454999923706055,0.4277918338775635
19,relu,adam,0.3,,,0.8585000038146973,0.39921557903289795,0.8460999727249146,0.4292168915271759
217,tanh,adam,,,,0.8554999828338623,0.40334612131118774,0.8410000205039978,0.43412747979164124
2,relu,adam,,,0.001,0.8550000190734863,0.6522426009178162,0.8454999923706055,0.6824560165405273
118,LeakyReLU,adam,0.2,,,0.8535000085830688,0.4127224087715149,0.8338000178337097,0.45258140563964844
127,LeakyReLU,adam,0.3,,,0.8523333072662354,0.40560588240623474,0.8406000137329102,0.4354062080383301
119,LeakyReLU,adam,0.2,,0.001,0.8514999747276306,0.6861706376075745,0.8360000252723694,0.7150972485542297
289,tanh,rmsprop,,,,0.8510000109672546,0.4138731360435486,0.840399980545044,0.4451082944869995
110,LeakyReLU,adam,,,0.001,0.8508333563804626,0.6796221137046814,0.8396000266075134,0.7124361395835876
109,LeakyReLU,adam,,,,0.8506666421890259,0.4249187707901001,0.8353999853134155,0.4556747078895569
10,relu,adam,0.2,,,0.8501666784286499,0.42311787605285645,0.8364999890327454,0.46107837557792664
73,relu,rmsprop,,,,0.8498333096504211,0.4190376102924347,0.842199981212616,0.44015076756477356
307,tanh,rmsprop,0.3,,,0.8495000004768372,0.42912381887435913,0.8378999829292297,0.45979610085487366
82,relu,rmsprop,0.2,,,0.8488333225250244,0.41210538148880005,0.8382999897003174,0.4486944377422333
226,tanh,adam,0.2,,,0.8486666679382324,0.4128863513469696,0.838100016117096,0.44548705220222473
190,LeakyReLU,rmsprop,0.2,,,0.8476666808128357,0.43020883202552795,0.8413000106811523,0.44972607493400574
11,relu,adam,0.2,,0.001,0.8471666574478149,0.6751385927200317,0.8392999768257141,0.6993793249130249
20,relu,adam,0.3,,0.001,0.847000002861023,0.6804212331771851,0.8296999931335449,0.7158635854721069
128,LeakyReLU,adam,0.3,,0.001,0.8458333611488342,0.6948537826538086,0.8327999711036682,0.7307379841804504
227,tanh,adam,0.2,,0.001,0.8454999923706055,0.7241073250770569,0.8353999853134155,0.755821943283081
200,LeakyReLU,rmsprop,0.3,,0.001,0.8414999842643738,0.7079423666000366,0.8299000263214111,0.7401318550109863
298,tanh,rmsprop,0.2,,,0.8411666750907898,0.4416971802711487,0.8241000175476074,0.48200127482414246
83,relu,rmsprop,0.2,,0.001,0.840666651725769,0.7019401788711548,0.8282999992370605,0.7320815324783325
74,relu,rmsprop,,,0.001,0.8398333191871643,0.685819149017334,0.8253999948501587,0.7111453413963318
28,relu,adam,0.5,,,0.8391666412353516,0.4417518675327301,0.83160001039505,0.4679158329963684
111,LeakyReLU,adam,,,0.005,0.8391666412353516,0.7937952280044556,0.8295999765396118,0.8172382116317749
308,tanh,rmsprop,0.3,,0.001,0.8391666412353516,0.7506713271141052,0.8287000060081482,0.7852099537849426
244,tanh,adam,0.5,,,0.8389999866485596,0.45157358050346375,0.8271999955177307,0.48424091935157776
208,LeakyReLU,rmsprop,0.5,,,0.8388333320617676,0.44727644324302673,0.8294000029563904,0.47556614875793457
136,LeakyReLU,adam,0.5,,,0.8383333086967468,0.46456894278526306,0.8270000219345093,0.48862525820732117
12,relu,adam,0.2,,0.005,0.8376666903495789,0.7689263224601746,0.821399986743927,0.803554117679596
245,tanh,adam,0.5,,0.001,0.8364999890327454,0.8096470832824707,0.8238000273704529,0.8430282473564148
218,tanh,adam,,,0.001,0.8360000252723694,0.7170699238777161,0.8277999758720398,0.7448996305465698
209,LeakyReLU,rmsprop,0.5,,0.001,0.8360000252723694,0.7489700317382812,0.8184000253677368,0.7762649655342102
101,relu,rmsprop,0.5,,0.001,0.8360000252723694,0.7094650864601135,0.8276000022888184,0.7357603907585144
100,relu,rmsprop,0.5,,,0.8356666564941406,0.45481595396995544,0.8252999782562256,0.48673760890960693
316,tanh,rmsprop,0.5,,,0.8346666693687439,0.4627411365509033,0.8185999989509583,0.4962608516216278
317,tanh,rmsprop,0.5,,0.001,0.8338333368301392,0.7977431416511536,0.8258000016212463,0.8333908915519714
